사업코드,시군구읍면동 명칭,공사시 생활폐기물 발생량,운영시 생활폐기물 발생량,생활폐기물 발생량,건설폐기물 처리현황_매립,건설폐기물 처리현황_소각,건설폐기물 처리현황_재활용,사업장배출시설계 폐기물의 처리 현황_매립,사업장배출시설계 폐기물의 처리 현황_소각,사업장배출시설계 폐기물의 처리 현황_재활용,사업장배출시설계 폐기물의 처리 현황_해역배출,사업장 지정 폐기물의 처리 현황_매립,사업장 지정 폐기물의 처리 현황_소각,사업장 지정 폐기물의 처리 현황_재활용,사업장 지정 폐기물의 처리 현황_기타,생성일,수정일,사용여부
ME2012B001,익산시,96,6443,293300,1.2,6,1204.7,,,,,,,,,,,Y
WJ2012B001,충주시,62.6,6339,447300,0,1.1,1197.8,26.7,32.2,285.9,0,,,,,,,Y
YS2012B008,순천시,81.3,10532.97,237400,1.2,1.4,762.8,54.5,2.4,379.7,47.9,,,,,,,Y
YS2012B002,화순군,60.9,245,46900,0.3,0.4,430.4,3.3,1.5,23,7.2,,,,,,,Y
HG2011B003,강화군,101.6,1454,52400,,,,3.4,0,73.5,1.8,385.5,6.5,29.6,27.7,,,Y
YS2012B011,광양시,57,14070,131000,,,,216.3,60.1,20038,20.8,36519.6,9748.3,3357.6,1958.5,,,Y
DG2012B016,경산시,41.7,48573.6,202600,0.5,0.4,709.1,15.7,13.6,202.7,79.5,1804.6,2977,3934.1,55.2,,,Y
YS2012B015,여수시,179.9,14098,405800,,,,755.1,69.1,1344.9,67.9,5599.7,48266.9,80913.8,1725.8,,,Y
GG2012B007,대전시,43.71,98648.5,1577600,78.3,119.1,5813.5,222.1,326.8,317.6,319.6,,,,,,,Y
GG2012B007,유성구,43.71,98648.5,257000,9.8,69.5,1680.2,21.4,3.3,2.3,300.7,,,,,,,Y
WJ2014B001,충주시,62.6,6339,447300,0,1.1,1197.8,26.7,32.2,285.9,0,,,,,,,Y
DG2014B001,경산시,42.9,11350,170300,0.3,0.2,618.3,15.9,13.3,216.8,76.4,2368.9,3205.4,7415.1,102.4,,,Y
